Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
CODI_LLAR	Codi de la llar	Código del hogar	Home code				
T2_H_HABITUAL_1	Referent a la persona present 1: Considera que aquest habitatge és la seva residència habitual?	Referente a la persona presente 1: ¿Considera que esta vivienda es su residencia habitual?	Referring to present person 1: Do you consider this home to be your usual residence?				
T2_H_HABITUAL_1				1	Sí	Sí	Yes
T2_H_HABITUAL_1				6	No	No	No
T2_DESP_1	Referent a la persona present 1: Comparteix despeses o ingressos de la llar?	Referente a la persona presente 1: ¿Comparte gastos y/o ingresos del hogar?	Referent a la persona present 1: Do you share household expenses or income?				
T2_DESP_1				1	Sí	Sí	Yes
T2_DESP_1				6	No	No	No
T2_QUI_ES_1	Referent a la persona present 1: Vostè és?	Referente a la persona presente 1: ¿Usted es?	Referent a la persona present 1: Is it you?				
T2_QUI_ES_1				1	Membre de la llar	Miembro del hogar	Household member
T2_QUI_ES_1				2	Servei domèstic	Servicio doméstico	Domestic service
T2_QUI_ES_1				3	Hoste	Huésped	Host 
T2_QUI_ES_1				4	Convidat	Invitado	Guest
T2_NUM_ORDRE_1	Referent a la persona present 1: Número d'ordre de la persona 1	Referente a la persona presente 1: Número de orden de la persona 1	Referent a la persona present 1: Order number of person 1				
T2_H_HABITUAL_2	Referent a la persona present 2: Considera que aquest habitatge és la seva residència habitual?	Referente a la persona presente 2: ¿Considera que esta vivienda es su residencia habitual?	Referring to present person 2: Do you consider this home to be your usual residence?				
T2_H_HABITUAL_2				1	Sí	Sí	Yes
T2_H_HABITUAL_2				6	No	No	No
T2_DESP_2	Referent a la persona present 2: Comparteix despeses o ingressos de la llar?	Referente a la persona presente 2: ¿Comparte gastos y/o ingresos del hogar?	Referent a la persona present 2: Do you share household expenses or income?				
T2_DESP_2				1	Sí	Sí	Yes
T2_DESP_2				6	No	No	No
T2_QUI_ES_2	Referent a la persona present 2: Vostè és?	Referente a la persona presente 2: ¿Usted es?	Referent a la persona present 2: Is it you?				
T2_QUI_ES_2				1	Membre de la llar	Miembro del hogar	Household member
T2_QUI_ES_2				2	Servei domèstic	Servicio doméstico	Domestic service
T2_QUI_ES_2				3	Hoste	Huésped	Host 
T2_QUI_ES_2				4	Convidat	Invitado	Guest
T2_NUM_ORDRE_2	Referent a la persona present 2: Número d'ordre de la persona 2	Referente a la persona presente 2: Número de orden de la persona 2	Referent a la persona present 2: Order number of person 2				
T2_H_HABITUAL_3	Referent a la persona present 3: Considera que aquest habitatge és la seva residència habitual?	Referente a la persona presente 3: ¿Considera que esta vivienda es su residencia habitual?	Referring to present person 3: Do you consider this home to be your usual residence?				
T2_H_HABITUAL_3				1	Sí	Sí	Yes
T2_H_HABITUAL_3				6	No	No	No
T2_DESP_3	Referent a la persona present 3: Comparteix despeses o ingressos de la llar?	Referente a la persona presente 3: ¿Comparte gastos y/o ingresos del hogar?	Referent a la persona present 3: Do you share household expenses or income?				
T2_DESP_3				1	Sí	Sí	Yes
T2_DESP_3				6	No	No	No
T2_QUI_ES_3	Referent a la persona present 3: Vostè és?	Referente a la persona presente 3: ¿Usted es?	Referent a la persona present 3: Is it you?				
T2_QUI_ES_3				1	Membre de la llar	Miembro del hogar	Household member
T2_QUI_ES_3				2	Servei domèstic	Servicio doméstico	Domestic service
T2_QUI_ES_3				3	Hoste	Huésped	Host 
T2_QUI_ES_3				4	Convidat	Invitado	Guest
T2_NUM_ORDRE_3	Referent a la persona present 3: Número d'ordre de la persona 3	Referente a la persona presente 3: Número de orden de la persona 3	Referent a la persona present 3: Order number of person 3				
